"SRR4785819"	"SRR4785820"	"SRR4785828"	"SRR4785831"	"SRR4785979"	"SRR4785980"	"SRR4785986"	"SRR4785988"
"AVL9"	3159	443	315	222	727	4574	5449	5151
"AVP"	0	0	5	0	0	0	0	0
"AVPI1"	6	126	46	57	45	208	182	132
"AVPR1A"	1073	287	404	318	71	1008	411	1171
"AVPR1B"	5	13	1	0	10	11	11	16
"AVPR2"	26	14	18	7	1	14	0	3
"AWAT1"	31	25	0	0	8	44	19	4
"AWAT2"	4	21	0	0	0	3	4	0
"AXDND1"	0	0	3	0	2	5	6	9
"AXIN1"	1570	389	275	166	107	239	448	519
"AXIN2"	647	278	84	77	51	917	339	357
"AXL"	18171	4480	1907	2844	652	5772	2122	6911
"AZGP1"	55	124	0	6	0	1	0	78
"AZGP1P1"	1	0	0	10	1	0	0	2
"AZGP1P2"	0	0	0	0	0	0	0	0
"AZI2"	1829	246	320	189	532	2403	2351	1704
"AZIN1"	2734	627	1006	801	1352	5281	5350	4515
"AZIN2"	958	295	114	63	92	714	381	593
"AZU1"	9	1	3	0	1	7	13	14
"AZU1P1"	0	0	0	0	0	1	0	0
"B2M"	25089	10037	6805	8183	18227	101148	158678	60071
"B3GALNT1"	1177	228	141	106	173	963	1112	765
"B3GALNT1P1"	117	0	0	0	19	153	136	94
"B3GALNT2"	758	234	298	190	398	1719	1421	1110
"B3GALNT2P1"	0	0	0	0	4	0	3	0
"B3GALT1"	296	187	113	55	21	116	65	98
"B3GALT2"	283	0	21	0	52	501	561	466
"B3GALT4"	47	47	53	39	10	23	48	57
"B3GALT5"	145	73	11	1	10	138	83	110
"B3GALT6"	95	47	101	57	57	60	228	221
"B3GALT9"	361	128	64	23	19	422	495	356
"B3GAT1"	471	133	37	13	103	503	392	430
"B3GAT2"	115	50	0	5	13	87	197	125
"B3GAT3"	346	50	74	89	2	58	59	74
"B3GAT3P1"	0	0	0	0	0	0	0	0
"B3GLCT"	438	94	147	83	134	569	652	913
"B3GNT2"	914	53	135	129	385	2548	2826	1438
"B3GNT2P1"	0	0	0	0	0	0	0	0
"B3GNT3"	19	10	6	3	29	15	17	15
"B3GNT4"	43	0	18	22	10	66	102	41
"B3GNT5"	400	82	232	171	76	577	297	451
"B3GNT6"	1	22	6	8	2	3	5	6
"B3GNT7"	951	182	232	133	61	504	261	193
"B3GNT8"	159	24	21	32	1	47	29	146
"B3GNT9"	744	319	94	105	57	316	23	55
"B3GNTL1"	544	6	7	16	145	557	363	263
"B3GNTL1P1"	3	0	0	0	0	4	0	7
"B3GNTL1P2"	0	0	0	0	0	0	0	0
"B4GALNT1"	10	41	4	22	3	0	1	10
"B4GALNT2"	2369	493	65	80	777	3695	4905	4280
"B4GALNT2P1"	0	0	0	0	0	0	0	0
"B4GALNT3"	2312	697	188	331	168	794	606	600
"B4GALNT4"	4	0	13	0	0	0	0	7
"B4GALT1"	2132	307	517	415	1227	4301	2315	1979
"B4GALT2"	246	292	298	159	218	245	441	203
"B4GALT3"	209	0	78	83	58	37	56	135
"B4GALT4"	831	151	64	95	271	1877	1792	1532
"B4GALT5"	1826	143	312	164	493	1990	1930	2133
"B4GALT6"	55	96	28	29	52	193	15	79
"B4GALT7"	979	50	92	47	155	134	270	309
"B4GAT1"	330	76	58	111	2	72	95	49
"B9D1"	1112	427	227	46	86	354	203	585
"B9D2"	111	10	20	25	36	69	81	21
"BAALC"	62	0	14	3	28	200	52	270
"BAAT"	495	68	47	58	108	622	747	745
"BABAM1"	973	242	301	236	152	308	247	407
"BABAM2"	1318	83	123	123	371	2200	1850	1766
"BACE1"	2873	558	576	433	302	3193	1686	2116
"BACE2"	1569	389	297	162	235	2696	1632	1620
"BACH1"	4898	469	667	420	1567	10545	9310	6351
"BACH2"	663	72	71	121	116	895	2360	598
"BAD"	126	271	327	184	16	5	31	152
"BAG1"	1249	932	582	318	314	1233	1160	2181
"BAG1P1"	101	0	1	10	0	0	0	1
"BAG2"	1116	283	199	183	281	1811	1700	890
"BAG3"	1434	160	244	145	63	569	438	589
"BAG4"	861	240	214	274	126	578	711	822
"BAG5"	1736	399	322	369	235	2280	2082	2632
"BAG6"	2392	1198	688	770	273	897	571	659
"BAGE2"	62	30	0	13	14	36	49	27
"BAHCC1"	2851	1187	1126	656	30	452	54	457
"BAHD1"	1185	212	142	125	63	643	494	324
"BAIAP2"	3440	441	226	269	147	325	311	610
"BAIAP2L1"	493	61	36	22	74	392	275	306
"BAIAP2L2"	234	13	49	38	38	164	174	227
"BAIAP3"	31	17	7	13	24	1	30	41
"BAK1"	498	104	103	75	46	83	191	327
"BAK1P1"	35	0	0	0	0	21	5	30
"BAK1P2"	0	0	0	0	0	0	0	0
"BAMBI"	35	49	10	5	15	140	65	0
"BANF1"	362	355	206	228	97	236	201	242
"BANF1P1"	6	0	0	0	4	0	2	21
"BANF1P2"	28	0	0	0	0	0	0	22
"BANF1P3"	51	0	0	0	12	41	43	66
"BANF1P4"	23	0	0	0	1	3	57	23
"BANF1P5"	3	18	0	0	0	5	1	0
"BANF2"	0	0	0	0	0	3	2	7
"BANK1"	496	86	113	27	463	444	9414	819
"BANP"	1793	228	182	88	294	1274	1098	850
"BAP1"	1821	598	523	391	171	1003	518	977
"BARD1"	363	57	293	101	133	1020	1186	934
"BARHL1"	9	0	17	1	0	2	2	7
"BARHL2"	0	0	0	0	0	0	0	0
"BARX1"	12	73	0	0	0	34	22	16
"BARX2"	113	25	9	21	3	39	67	61
"BASP1"	1435	1153	1757	981	340	2463	1932	1363
"BASP1P1"	4	0	0	0	0	0	0	0
"BATF"	49	27	8	10	27	192	391	67
"BATF2"	44	0	42	32	9	3	5	30
"BATF3"	304	18	51	12	39	219	192	34
"BAX"	601	219	225	105	15	73	55	73
"BAZ1A"	1535	733	489	500	544	3517	4791	3219
"BAZ1B"	5761	1732	1338	1267	579	4478	5036	3861
"BAZ2A"	6314	1024	749	666	833	3052	2590	3383
"BAZ2B"	7077	1575	1046	720	1756	10013	8775	10453
"BBC3"	258	32	101	53	30	31	90	58
"BBIP1"	966	255	329	121	282	2294	2417	1407
"BBIP1P1"	10	0	0	0	0	6	9	12
"BBLN"	27	178	161	92	88	301	91	9
"BBOF1"	192	87	27	19	28	309	232	185
"BBOX1"	0	0	0	0	15	28	14	0
"BBS1"	1251	352	192	188	109	288	318	343
"BBS10"	684	106	74	197	47	699	702	572
"BBS12"	186	16	27	39	66	212	128	233
"BBS2"	2775	375	376	295	121	2053	2097	2670
"BBS4"	1100	51	47	33	139	561	540	1074
"BBS5"	1453	324	617	354	100	885	663	672
"BBS7"	542	105	66	35	46	440	400	671
"BBS9"	2619	228	371	210	357	2570	2303	2739
"BBX"	5930	1115	881	834	1058	7364	9578	6381
"BCAM"	1147	211	459	337	59	216	183	662
"BCAN"	0	10	6	1	14	8	8	0
"BCAP29"	1398	280	230	169	153	1847	1990	2022
"BCAP31"	2983	365	282	254	8	696	655	1159
"BCAP31P1"	0	0	0	0	0	0	0	0
"BCAP31P2"	0	0	0	0	0	0	0	0
"BCAR1"	2689	828	340	156	99	912	380	338
"BCAR1P1"	0	0	0	0	0	0	0	0
"BCAR1P2"	0	0	0	0	0	0	0	0
"BCAR3"	664	220	146	98	176	878	935	777
"BCAS1"	50	10	20	12	9	57	41	231
"BCAS2"	528	100	119	80	78	404	625	626
"BCAS2P1"	5	0	0	0	3	3	18	12
"BCAS2P2"	54	0	0	1	25	90	129	72
"BCAS2P3"	0	0	0	0	0	0	0	0
"BCAS3"	2482	261	236	158	464	2598	2619	2926
"BCAS4"	63	47	27	8	21	37	145	36
"BCAT1"	13235	2174	3457	2357	3689	23221	16786	8137
"BCAT2"	835	98	98	84	0	6	29	87
"BCCIP"	1036	266	298	178	196	978	1432	928
"BCDIN3D"	321	99	63	115	68	223	158	245
"BCHE"	2	0	4	5	22	0	2	47
"BCKDHA"	560	146	101	129	45	574	554	133
"BCKDHB"	781	198	154	74	152	790	807	826
"BCKDK"	355	140	113	114	44	193	81	83
"BCL10"	742	265	193	137	298	1339	1473	1139
"BCL11A"	617	173	98	53	573	433	5010	592
"BCL11B"	271	29	16	20	406	313	1899	680
"BCL2"	1666	317	167	165	702	1876	6023	2482
"BCL2A1"	8	0	0	2	106	373	758	511
"BCL2L1"	2004	344	440	276	798	2542	2183	4522
"BCL2L10"	4	0	1	0	2	0	4	10
"BCL2L11"	749	194	91	112	634	1604	1620	1911
"BCL2L12"	21	1	33	25	29	5	40	42
"BCL2L12P1"	0	0	0	0	0	0	0	3
"BCL2L13"	2486	1012	586	363	325	1888	2093	1740
"BCL2L14"	60	47	21	33	27	79	105	133
"BCL2L15"	303	239	79	57	42	314	530	408
"BCL2L2"	2238	2608	1304	955	173	666	545	884
"BCL2L2-PABPN1"	50	0	0	2	12	534	664	65
"BCL3"	512	123	243	69	101	196	150	147
"BCL6"	8241	443	773	282	548	2501	2213	5156
"BCL6B"	10	53	82	81	30	439	102	233
"BCL7A"	388	153	53	89	74	393	461	413
"BCL7B"	503	215	291	190	109	502	308	262
"BCL7C"	1120	478	272	236	65	346	322	941
"BCL9"	1105	37	90	112	206	522	334	567
"BCL9L"	3990	1196	864	629	212	797	231	990
"BCL9P1"	5	0	0	0	4	0	0	146
"BCLAF1"	6479	670	749	896	2111	9748	12627	10000
"BCLAF1P1"	0	0	0	0	0	0	0	1
"BCLAF1P2"	0	0	0	0	0	0	2	2
"BCLAF3"	1505	327	267	149	257	1420	1675	1951
"BCO1"	11	0	0	4	0	0	8	12
"BCO2"	522	105	51	17	67	552	549	452
"BCOR"	2527	387	191	253	265	1124	1475	1701
"BCORL1"	1465	160	187	171	115	504	238	255
"BCORP1"	111	16	18	55	12	66	51	66
"BCR"	6719	571	788	692	648	1711	1475	2799
"BCRP1"	0	0	0	0	0	1	2	5
"BCRP2"	130	36	7	31	20	68	57	74
"BCRP4"	0	0	0	0	0	0	0	0
"BCRP5"	0	0	0	0	0	0	0	0
"BCRP6"	0	0	0	0	0	0	0	0
"BCRP7"	0	0	0	0	0	0	0	0
"BCRP8"	1	0	0	0	0	0	0	6
"BCRP9"	0	0	0	0	0	0	0	0
"BCS1L"	384	38	88	61	106	278	257	148
"BDH1"	452	117	160	68	100	392	554	536
"BDH2"	2119	270	247	181	284	1970	1750	1731
"BDH2P1"	0	0	0	0	0	3	0	0
"BDKRB1"	63	62	67	49	24	119	79	46
"BDKRB2"	1248	329	351	264	43	792	263	538
"BDNF"	141	9	11	0	21	131	100	102
"BDP1"	6413	1119	930	848	1030	5800	8465	6493
"BDP1P"	0	0	1	0	0	9	1	36
"BEAN1"	499	34	41	8	80	217	272	339
"BECN1"	1280	642	524	398	132	1560	992	1432
"BECN1P2"	6	0	0	0	0	0	0	0
"BECN2"	2	0	0	0	0	1	0	0
"BEGAIN"	1769	290	167	65	43	80	160	158
"BEND2"	46	92	25	33	22	63	69	586
"BEND3"	278	61	29	28	76	424	267	168
"BEND3P1"	135	17	37	39	23	117	149	152
"BEND3P2"	4	0	0	0	0	15	5	0
"BEND3P3"	640	116	80	42	70	384	287	610
"BEND4"	0	0	0	16	25	2	316	35
"BEND5"	118	83	21	26	9	97	183	155
"BEND6"	405	186	215	55	139	1381	834	556
"BEND7"	508	46	50	34	13	332	230	389
"BEND7P1"	1	0	0	0	7	8	1	0
"BEST1"	1310	166	185	104	235	1422	998	1130
"BEST2"	61	0	13	1	7	77	49	16
"BEST3"	239	105	18	0	38	187	220	291
"BEST4"	144	12	4	0	20	63	65	73
"BET1"	1177	160	142	59	164	990	1408	964
"BET1L"	1647	259	442	299	340	314	593	770
"BET1P1"	1	0	0	0	0	0	0	0
"BEX1"	4	0	9	7	0	1	3	0
"BEX2"	0	0	0	0	1	17	107	9
"BEX3"	825	241	358	354	36	626	446	412
"BEX4"	183	35	177	145	109	339	251	170
"BEX5"	19	0	16	0	8	17	48	35
"BFAR"	1088	263	319	278	266	899	922	1198
"BFSP1"	102	130	9	20	4	146	41	35
"BFSP2"	5	0	0	0	5	2	11	10
"BGLAP"	18	0	11	2	0	20	18	2
"BGN"	21495	14999	5817	3296	1727	13378	1892	5139
"BHLHA15"	36	27	5	0	313	122	290	99
"BHLHA9"	1	0	0	0	0	0	0	0
"BHLHB9"	622	56	77	102	64	125	307	26
"BHLHB9P1"	1	0	0	0	6	2	26	31
"BHLHE22"	0	18	65	4	12	74	4	29
"BHLHE23"	2	0	0	0	0	0	0	0
"BHLHE40"	6245	3432	1464	708	1035	5729	4215	2653
"BHLHE41"	1198	875	432	255	415	119	1558	1163
"BHMT"	47	89	12	5	7	48	58	38
"BHMT2"	1000	194	156	144	44	472	342	648
"BICC1"	2398	933	816	602	665	8650	3680	4726
"BICD1"	2421	198	169	101	557	2308	2142	1585
"BICD1P1"	0	0	0	0	1	0	0	0
"BICD2"	3737	905	615	483	489	2893	2880	2446
"BICDL1"	137	42	43	24	47	123	496	202
"BICDL2"	5	2	23	7	0	13	14	39
"BICRA"	690	111	149	125	87	200	140	164
"BICRAL"	1946	397	433	278	732	1706	1607	2272
"BID"	650	213	193	178	164	980	1323	582
"BIK"	12	0	0	0	20	12	42	10
"BIN1"	5057	822	537	350	178	997	1164	695
"BIN2"	650	106	84	81	310	777	1865	1857
"BIN2P1"	0	0	0	0	0	3	5	2
"BIN2P2"	0	29	0	0	0	0	2	0
"BIN3"	1059	197	138	76	73	967	762	677
"BIRC2"	2176	241	335	295	53	2731	3046	3355
"BIRC3"	451	118	117	89	974	152	10637	1122
"BIRC5"	37	80	14	5	46	26	24	15
"BIRC6"	11822	957	892	862	4272	23026	28955	22928
"BIRC6-AS2"	189	0	0	4	24	269	211	203
"BIRC7"	1627	0	15	6	2	0	0	0
"BIRC8"	0	0	0	0	0	0	0	0
"BIVM"	2019	383	303	232	587	2024	1594	2138
"BIVM-ERCC5"	0	0	0	0	189	331	606	17
"BLACAT1"	15	0	1	0	2	7	14	1
"BLCAP"	3055	272	196	181	452	1532	1918	1773
"BLID"	66	0	6	0	2	197	161	107
"BLK"	16	19	29	0	30	8	610	57
"BLM"	284	127	49	51	124	172	422	106
"BLMH"	1080	381	241	127	235	1200	1184	926
"BLNK"	1334	329	166	86	531	1240	3281	1183
"BLOC1S1"	245	190	236	308	85	7	1	123
"BLOC1S2"	614	210	278	197	241	918	752	375
"BLOC1S2P1"	0	0	0	0	0	0	0	0
"BLOC1S3"	537	184	212	184	87	221	231	314
"BLOC1S4"	145	87	54	40	17	168	184	169
"BLOC1S5"	878	72	171	160	171	775	1132	617
"BLOC1S5-TXNDC5"	409	0	0	0	664	1022	2055	821
"BLOC1S6"	23852	12039	7802	5889	5493	26510	27412	30385
"BLOC1S6P1"	107	31	14	30	8	53	57	76
"BLVRA"	842	417	446	265	238	1175	1327	393
"BLVRB"	632	355	385	390	24	211	198	953
"BLZF1"	1155	83	233	125	110	1478	1474	1634
"BLZF2P"	2	0	0	0	0	61	30	31
"BMERB1"	4523	1015	489	473	61	765	562	918
"BMF"	2270	261	133	147	286	517	132	117
"BMI1"	1539	494	861	770	664	1366	1094	905
"BMI1P1"	2	0	0	0	0	0	0	3
"BMP1"	1251	479	847	523	298	2845	1117	725
"BMP10"	2	0	4	0	1	2	12	0
"BMP15"	0	0	0	0	0	3	0	0
"BMP2"	484	230	180	106	25	71	168	43
"BMP2K"	7103	301	753	625	2987	14834	16815	5706
"BMP2KL"	379	0	8	0	3	431	171	456
"BMP3"	22	28	53	22	3	19	26	147
"BMP4"	1277	257	134	105	28	332	91	259
"BMP5"	482	137	136	469	17	103	62	1747
"BMP6"	555	677	118	111	173	635	323	914
"BMP6P1"	4	0	0	0	0	0	0	0
"BMP7"	33	146	57	47	4	128	154	125
"BMP8A"	778	185	79	49	60	161	193	197
"BMP8B"	143	44	36	43	71	369	293	246
"BMPER"	2403	1	118	16	100	271	241	297
"BMPR1A"	2799	610	433	431	246	3373	1989	3257
"BMPR1AP1"	62	0	0	13	3	39	11	298
"BMPR1AP2"	0	0	0	0	0	0	0	0
"BMPR1B"	130	123	61	32	28	556	136	593
"BMPR2"	6921	887	1235	1137	1865	10355	8062	6953
"BMS1"	3062	722	353	292	311	1793	2722	2438
"BMS1P1"	2372	219	173	87	643	4960	4173	3515
"BMS1P10"	42	4	58	41	7	95	132	299
"BMS1P11"	28	0	0	0	0	5	23	43
"BMS1P12"	0	0	0	0	22	16	3	8
"BMS1P13"	14	0	0	0	0	4	54	23
"BMS1P15"	1	0	0	0	1	3	2	3
"BMS1P16"	0	0	0	0	0	0	0	0
"BMS1P17"	242	0	3	0	58	316	347	263
"BMS1P19"	0	0	0	0	0	0	0	5
"BMS1P2"	643	5	37	24	195	1667	881	1509
"BMS1P21"	13	0	0	0	1	7	15	26
"BMS1P22"	49	0	0	0	1	100	43	35
"BMS1P23"	2958	1245	468	244	208	2068	2182	1824
"BMS1P3"	139	22	6	3	20	74	10	478
"BMS1P4"	382	23	25	5	90	515	434	601
"BMS1P7"	37	0	16	2	8	6	215	15
"BMS1P8"	28	10	0	0	2	5	14	12
"BMS1P9"	8	0	0	0	0	0	0	0
"BMT2"	703	174	93	76	126	1473	971	931
"BMX"	115	0	16	0	5	205	73	681
"BNC1"	10	0	5	2	3	41	66	34
"BNC2"	3258	847	887	590	980	11399	3387	4887
"BNIP1"	135	131	17	24	49	304	187	39
"BNIP2"	2839	1043	1058	907	860	5637	5031	4592
"BNIP3"	1445	115	166	164	205	1018	744	699
"BNIP3L"	3644	888	827	842	1027	8223	4697	14293
"BNIP3P1"	1	0	1	15	0	1	5	9
"BNIP3P10"	53	0	2	7	7	13	56	40
"BNIP3P11"	14	0	0	0	12	46	25	0
"BNIP3P13"	4	0	0	0	6	13	3	7
"BNIP3P15"	0	0	0	0	0	0	1	2
"BNIP3P16"	11	3	35	11	2	13	25	1
"BNIP3P17"	6	0	11	6	5	26	19	0
"BNIP3P18"	0	0	0	0	0	0	0	1
"BNIP3P19"	0	0	4	0	0	2	0	0
"BNIP3P2"	0	0	0	0	0	0	0	0
"BNIP3P20"	4	0	10	0	0	2	3	8
"BNIP3P22"	1	0	3	0	0	36	19	0
"BNIP3P23"	1	0	0	0	0	0	0	0
"BNIP3P24"	9	0	0	0	9	17	21	8
"BNIP3P25"	70	0	0	0	15	68	38	98
"BNIP3P26"	16	0	0	15	11	18	49	59
"BNIP3P27"	56	0	0	0	3	26	52	16
"BNIP3P28"	102	30	27	23	15	116	131	95
"BNIP3P29"	9	0	0	0	0	15	9	10
"BNIP3P3"	1	0	0	0	2	7	11	0
"BNIP3P30"	7	0	0	0	4	18	17	14
"BNIP3P31"	0	0	0	0	0	0	0	0
"BNIP3P32"	14	0	0	0	0	0	0	0
"BNIP3P33"	3	25	0	0	1	6	0	0
"BNIP3P34"	2	0	0	0	0	0	0	0
"BNIP3P35"	0	0	0	0	0	2	0	0
"BNIP3P36"	1	0	0	0	2	4	0	0
"BNIP3P37"	30	52	10	0	7	25	28	78
"BNIP3P38"	0	0	0	0	0	0	4	0
"BNIP3P39"	6	0	0	0	0	0	28	10
"BNIP3P4"	39	0	0	0	27	22	128	65
"BNIP3P40"	24	0	0	0	30	61	43	67
"BNIP3P41"	0	0	0	0	3	0	42	0
"BNIP3P42"	69	0	0	0	14	21	73	89
"BNIP3P5"	63	0	0	0	2	34	79	49
"BNIP3P6"	0	0	0	0	0	0	0	0
"BNIP3P7"	0	0	0	0	0	0	0	0
"BNIP3P8"	4	0	0	0	0	16	40	34
"BNIP3P9"	1	0	0	0	0	0	1	0
"BNIP5"	0	46	0	0	0	0	0	0
"BNIPL"	86	63	42	15	10	52	66	69
"BOC"	3630	718	360	540	124	2516	985	4049
"BOD1"	746	90	164	129	99	123	570	943
"BOD1L1"	7752	1504	1233	1198	1761	8707	10134	11451
"BOD1L2"	3	0	0	0	0	2	0	0
"BOD1P1"	0	0	0	0	0	1	0	0
"BOD1P2"	0	0	0	0	0	0	0	0
"BOK"	718	134	189	202	28	83	60	58
"BOLA1"	17	11	41	31	2	4	4	9
"BOLA2"	0	144	95	147	0	0	0	0
"BOLA2-SMG1P6"	160	5	43	106	142	679	453	196
"BOLA2B"	3	3	24	0	10	121	23	3
"BOLA2P1"	0	0	0	0	0	0	0	0
"BOLA2P2"	15	3	16	0	16	13	28	9
"BOLA2P3"	5	0	0	0	0	0	2	9
"BOLA3"	31	46	21	48	2	129	123	38
"BOLA3P1"	0	0	0	0	0	0	1	4
"BOLA3P2"	0	0	0	0	0	0	0	0
"BOLA3P3"	0	0	0	0	0	0	0	0
"BOLA3P4"	0	0	0	0	1	1	0	0
"BOLL"	18	0	0	0	3	15	8	11
"BOP1"	824	446	248	178	20	179	81	254
"BORA"	55	0	11	27	122	373	365	95
"BORCS5"	1392	345	206	107	329	1592	1407	1255
"BORCS6"	71	52	128	84	0	119	73	55
"BORCS7"	642	354	92	190	103	1079	844	554
"BORCS7-ASMT"	37	0	37	0	37	0	0	293
"BORCS8"	1745	1394	1090	609	118	460	482	454
"BORCS8-MEF2B"	75	8	37	21	9	26	42	180
"BORCS8P1"	0	0	0	0	0	0	0	0
"BPGM"	349	79	99	87	192	965	571	1324
"BPHL"	501	108	208	169	105	526	460	246
"BPI"	14	0	10	1	4	0	1	84
"BPIFA1"	0	20	0	0	2	0	0	0
"BPIFA2"	0	0	0	0	0	0	0	0
"BPIFA3"	7	0	0	0	8	23	67	28
"BPIFA4P"	16	0	0	0	1	3	7	1
"BPIFB1"	65	0	12	6	8	86	49	60
"BPIFB2"	0	0	12	0	0	0	0	0
"BPIFB3"	0	0	0	7	0	0	0	0
"BPIFB4"	0	0	0	0	0	0	0	0
"BPIFB5P"	1	0	0	0	0	0	0	0
"BPIFB6"	0	0	0	0	0	0	0	0
"BPIFB9P"	31	0	0	0	10	15	20	17
"BPIFC"	0	0	0	0	0	0	0	0
"BPNT1"	368	148	102	46	29	420	576	284
"BPNT2"	2749	426	549	419	1023	6240	4791	4209
"BPNT2P1"	1	33	0	0	2	0	1	2
"BPTF"	8942	1602	1525	1444	1645	9009	10020	9133
"BPTFP1"	273	0	6	0	67	545	274	321
"BPY2"	0	0	0	0	0	0	0	0
"BPY2B"	0	0	0	0	0	0	0	0
"BPY2C"	0	0	0	0	0	0	0	0
"BPY2DP"	0	0	0	0	0	0	0	0
"BRAF"	3519	865	799	629	889	4424	4698	4665
"BRAFP1"	81	0	4	0	3	14	43	98
"BRAP"	958	104	151	183	112	1030	1316	963
"BRAT1"	2648	367	322	260	168	544	286	731
"BRCA1"	536	290	146	175	38	525	548	541
"BRCA1P1"	7	0	0	0	0	13	12	0
"BRCA2"	407	74	49	47	472	1687	1463	685
"BRCC3"	744	273	161	109	119	719	1049	888
"BRCC3P1"	18	0	0	0	6	8	21	14
"BRD1"	4035	438	491	294	318	1580	1186	1820
"BRD2"	4812	1377	1178	941	414	1451	1031	2099
"BRD3"	2133	526	473	436	347	1757	1044	766
"BRD3OS"	679	273	308	231	156	964	726	837
"BRD4"	6185	1105	1182	949	721	2750	1217	1779
"BRD7"	2945	829	629	547	349	3864	4051	2615
"BRD7P1"	21	0	0	0	0	18	4	13
"BRD7P2"	4	19	0	0	0	20	17	19
"BRD7P3"	138	0	3	0	58	117	330	243
"BRD7P4"	130	12	10	0	23	205	123	332
"BRD7P5"	0	0	0	0	2	0	1	3
"BRD7P6"	0	0	0	0	0	0	0	0
"BRD8"	1670	476	148	182	288	1260	1265	1175
"BRD9"	2406	593	249	190	257	1644	1045	1317
"BRD9P1"	0	0	0	0	0	0	0	0
"BRD9P2"	2	0	0	0	0	0	0	0
"BRDT"	36	21	332	109	5	39	43	21
"BRDTP1"	5	0	0	0	1	0	0	0
"BRF1"	2064	488	317	191	127	897	655	479
"BRF2"	245	46	29	53	98	334	368	15
"BRI3"	2132	470	631	288	453	1915	917	1159
"BRI3BP"	907	277	284	175	278	743	1396	658
"BRI3BPP1"	118	0	0	0	14	20	4	110
"BRI3P1"	19	0	0	2	0	9	7	11
"BRI3P2"	0	0	0	0	0	0	0	0
"BRI3P3"	8	0	0	0	0	0	0	10
"BRICD5"	96	0	0	7	4	65	1	22
"BRINP1"	4	0	0	0	2	2	0	48
"BRINP2"	6	0	0	0	0	0	0	3
"BRINP3"	35	0	3	1	3	1	5	0
"BRIP1"	2659	719	342	193	483	2281	2843	2184
"BRIX1"	239	72	152	108	263	103	575	411
"BRIX1P1"	1	0	0	0	0	5	12	29
"BRK1"	964	835	1013	659	403	1579	866	1124
"BRK1P1"	1	0	0	0	0	2	0	0
"BRK1P2"	0	17	0	0	0	0	0	0
"BRME1"	77	151	74	55	3	5	14	17
"BRMS1"	259	230	159	128	51	257	168	207
"BRMS1L"	362	96	91	49	49	305	284	287
"BROX"	2318	422	599	447	479	3813	3877	2535
"BRPF1"	1009	120	173	208	215	759	443	519
"BRPF3"	1430	395	179	282	230	816	531	799
"BRS3"	20	0	0	0	0	5	7	0
"BRSK1"	85	40	61	12	7	54	3	11
"BRSK2"	313	58	153	102	0	48	10	44
"BRWD1"	7418	529	645	583	1842	10692	11955	10899
"BRWD1P1"	0	0	0	0	0	0	0	0
"BRWD1P2"	0	0	0	0	0	0	1	0
"BRWD1P3"	17	0	0	0	7	4	0	5
"BRWD3"	2869	817	723	559	776	4381	4202	3751
"BSCL2"	283	121	96	92	36	75	90	70
"BSDC1"	3219	400	368	343	428	1592	1178	2133
"BSG"	6123	1609	1095	827	483	2761	1720	2678
"BSN"	36	90	32	57	5	67	56	45
"BSND"	104	38	19	4	20	130	151	129
"BSNDP1"	0	0	0	0	0	9	0	0
"BSNDP2"	31	0	0	0	3	11	1	10
"BSNDP3"	0	0	0	0	0	0	0	0
"BSNDP4"	0	28	0	0	1	0	0	0
"BSPH1"	0	0	0	0	0	0	0	0
"BSPRY"	44	0	2	0	41	41	84	82
"BST1"	311	142	64	53	49	724	648	689
"BST2"	928	435	154	364	142	160	793	252
"BSX"	0	0	0	2	0	0	0	0
"BTAF1"	4666	170	236	168	1255	6506	9951	9373
"BTBD1"	2062	329	395	390	463	3343	3586	2235
"BTBD10"	1249	182	180	120	330	1712	1984	1542
"BTBD10P1"	0	0	0	0	0	0	1	0
"BTBD10P2"	39	0	0	0	12	9	15	30
"BTBD11"	153	17	41	15	169	599	610	300
"BTBD16"	82	0	3	0	0	59	24	73
"BTBD17"	0	0	0	0	0	0	0	0
"BTBD18"	42	20	5	0	59	259	186	180
"BTBD19"	2082	1655	967	775	118	493	203	310
"BTBD2"	1799	487	506	433	142	590	352	435
"BTBD3"	919	126	84	97	144	1478	1015	1316
"BTBD6"	858	374	291	123	110	1089	622	1122
"BTBD6P1"	0	0	0	0	8	18	0	0
"BTBD7"	2283	389	527	405	757	2928	2679	2283
"BTBD7P1"	235	226	119	97	22	74	88	55
"BTBD7P2"	0	0	0	0	0	0	0	0
"BTBD8"	726	70	34	83	81	597	750	645
"BTBD9"	3605	6295	4485	3914	654	2643	2767	1828
"BTC"	4223	232	68	137	1	22	459	241
"BTD"	2202	479	268	346	527	1800	1910	3125
"BTF3"	2429	1160	1664	1245	821	4856	5154	4655
"BTF3L4"	1164	342	377	279	303	1907	1829	1787
"BTF3L4P1"	10	0	0	0	0	9	3	0
"BTF3L4P2"	54	0	0	0	0	228	281	26
"BTF3L4P3"	0	0	0	0	0	0	0	0
"BTF3L4P4"	1	0	0	0	0	2	0	0
"BTF3P1"	0	0	0	0	0	14	0	2
"BTF3P10"	0	0	0	0	0	0	0	0
"BTF3P11"	0	0	0	0	0	0	1	0
"BTF3P12"	94	0	0	0	19	115	162	66
"BTF3P13"	0	0	0	0	0	0	0	0
"BTF3P14"	0	0	0	0	0	0	0	0
"BTF3P15"	0	0	0	0	0	0	0	0
"BTF3P2"	0	0	0	0	0	0	0	0
"BTF3P3"	35	0	0	2	5	72	112	35
